TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T1,C5841053,10-01-1994,F,JAMSHEDPUR,17819.05,02-08-2016,143207,25
T2,C2142763,04-04-1957,M,JHAJJAR,2270.69,02-08-2016,141858,27999
T3,C4417068,26-11-1996,F,MUMBAI,17874.44,02-08-2016,142712,459
T4,C5342380,14-09-1973,F,MUMBAI,866503.21,02-08-2016,142714,2060
T5,C9031234,24-03-1988,F,NAVI MUMBAI,6714.43,02-08-2016,181156,1762.5
T6,C1536588,08-10-1972,F,ITANAGAR,53609.2,02-08-2016,173940,676
T7,C7126560,26-01-1992,F,MUMBAI,973.46,02-08-2016,173806,566
T8,C1220223,27-01-1982,M,MUMBAI,95075.54,02-08-2016,170537,148
T9,C8536061,19-04-1988,F,GURGAON,14906.96,02-08-2016,192825,833
T10,C6638934,22-06-1984,M,MUMBAI,4279.22,02-08-2016,192446,289.11
T11,C5430833,22-07-1982,M,MOHALI,48429.49,02-08-2016,204133,259
T12,C6939838,07-07-1988,M,GUNTUR,14613.46,02-08-2016,205108,202
T13,C6339347,13-06-1978,M,AHMEDABAD,32274.78,02-08-2016,203834,12300
T14,C8327851,05-01-1992,F,THANE,59950.44,01-08-2016,84706,50
T15,C7917151,24-03-1978,M,PUNE,10100.84,01-08-2016,82253,338
T16,C8334633,10-07-1968,F,NEW DELHI,1283.12,01-08-2016,125725,250
T17,C1376215,1/1/1800,M,MUMBAI,77495.15,01-08-2016,124727,1423.11
T18,C8967349,16-07-1989,M,MUMBAI,2177.85,01-08-2016,124734,54
T19,C3732016,11-01-1991,M,MUMBAI,32816.17,01-08-2016,122135,315
T20,C8999019,24-06-1985,M,PUNE,10643.5,01-08-2016,152821,945
T21,C6121429,20-04-1993,M,NO 3 KALYANI NAGAR PUNE,2934.22,01-08-2016,152824,36
T22,C4511244,31-08-1989,F,SECUNDERABAD,4470.15,03-08-2016,105329,27
T23,C7018081,1/1/1800,M,WAYS PANCHKUVA AHMEDABAD,143.07,03-08-2016,104718,110
T24,C5830215,01-10-1986,M,LUCKNOW,12868.42,03-08-2016,125629,291
T25,C1219943,17-05-1991,F,GURGAON,2951.1,03-08-2016,124834,1892
T26,C5521085,24-02-1993,M,GURGAON,3297.74,03-08-2016,160533,242
T27,C5430368,01-02-1986,M,DELHI,285.76,03-08-2016,160537,5500
T28,C2416848,01-04-1993,M,CHENNAI,20986.66,03-08-2016,160544,2235
T29,C7935438,1/1/1800,M,MOHALI,969436.12,03-08-2016,183634,36.9
T30,C8736958,19-12-1986,M,GRAM PANCHAYTH HYDERABAD,,03-08-2016,160636,2600
T31,C7648712,21-01-1967,F,NEW DELHI,298461.05,03-08-2016,160642,500
T32,C5652115,26-06-1991,F,GHAZIABAD,6384.54,03-08-2016,160558,10
T33,C1889073,25-02-1985,F,BANGALORE,57791.69,03-08-2016,160750,760
T34,C2043652,25-07-1979,F,MUMBAI,123781.9,03-08-2016,182714,6800
T35,C7017047,23-04-1977,M,GURGAON,39.73,03-08-2016,182715,110
T36,C1211387,1/1/1800,M,AHMEDABAD,11791.25,03-08-2016,125915,1075
T37,C4320949,25-10-1984,F,CHENNAI,213.06,03-08-2016,182915,1081
T38,C2331533,30-12-1997,F,GUWAHATI,44627.73,03-08-2016,182918,2999
T39,C5338459,03-01-1984,M,DHANBAD,113238.74,03-08-2016,180948,1350
T40,C5120181,25-06-1985,M,MUKTSAR,2477.42,03-08-2016,183614,683
T41,C5838935,13-04-1983,M,SOCORRO,58406.7,03-08-2016,132517,50
T42,C7923455,06-10-1992,M,ANDHERI (EAST) MUMBAI,5810.82,03-08-2016,221111,12
T43,C2733968,06-12-1992,F,AURANGABAD,12545.18,03-08-2016,220926,179
T44,C2023055,30-07-1993,M,MUMBAI,10630.88,03-08-2016,222006,421.8
T45,C1289591,28-10-1990,M,KOTA,282455.64,03-08-2016,222008,900
T46,C3526781,02-11-1980,M,CHENNAI,1589.43,03-08-2016,222609,90
T47,C8934588,23-10-1981,M,JAIPUR,5055.18,03-08-2016,223146,13846
T48,C7542443,29-12-1989,M,K V RANGAREDDY,25222.91,03-08-2016,223149,59.47
T49,C6427687,04-07-1981,M,MUZAFFARNAGAR,2162.36,02-08-2016,100019,55
T50,C5242591,01-12-1982,M,BURDWAN,22525.66,05-08-2016,133136,27990
T51,C8624922,26-06-1982,F,GURGAON,298357.41,05-08-2016,133139,1388
T52,C6637047,25-07-1966,M,PUNE,9956.49,05-08-2016,133141,145
